Date,Open,High,Low,Close,Volume
2012-09-06,1403.74,1432.12,1403.74,1432.12,2196038889
2012-09-07,1432.12,1437.92,1431.45,1437.92,2065344444
2012-09-10,1437.92,1438.74,1428.98,1429.08,1790927778
2012-09-11,1429.13,1437.76,1429.13,1433.56,1949794444
2012-09-12,1433.56,1439.15,1432.99,1436.56,2022888889
2012-09-13,1436.56,1463.76,1435.34,1459.99,2559194444
2012-09-14,1460.07,1474.51,1460.07,1465.77,2801105556
2012-09-17,1465.42,1465.63,1457.55,1461.19,1934683333
2012-09-18,1461.19,1461.47,1456.13,1459.32,1876327778
2012-09-19,1459.5,1465.15,1457.88,1461.05,1917422222
2012-09-20,1461.05,1461.23,1449.98,1460.26,1879177778
2012-09-21,1460.34,1467.07,1459.51,1460.15,2685483333
2012-09-24,1459.76,1460.72,1452.06,1456.89,1671622222
2012-09-25,1456.94,1463.24,1441.59,1441.59,2077722222
2012-09-26,1441.6,1441.6,1430.53,1433.32,1980766667
2012-09-27,1433.36,1450.2,1433.36,1447.15,1750183333
2012-09-28,1447.13,1447.13,1435.6,1440.67,1949572222
2012-10-01,1440.9,1457.14,1440.9,1444.49,1947266667
2012-10-02,1444.99,1451.52,1439.01,1445.75,1845438889
2012-10-03,1446.05,1454.3,1441.99,1450.99,1962022222
2012-10-04,1451.08,1463.14,1451.08,1461.4,2008811111
2012-10-05,1461.4,1470.96,1456.89,1460.93,1762744444
2012-10-08,1460.93,1460.93,1453.1,1455.88,1293733333
2012-10-09,1455.9,1455.9,1441.18,1441.48,1786844444
2012-10-10,1441.48,1442.52,1430.64,1432.56,1791700000
2012-10-11,1432.82,1443.9,1432.82,1432.84,2040300000
2012-10-12,1432.84,1438.43,1425.53,1428.59,1741527778
2012-10-15,1428.75,1441.31,1427.24,1440.13,1935450000
2012-10-16,1440.31,1455.51,1440.31,1454.92,1982650000
2012-10-17,1454.22,1462.2,1453.35,1460.91,2030733333
2012-10-18,1460.94,1464.02,1452.63,1457.34,2155572222
2012-10-19,1457.34,1457.34,1429.85,1433.19,2152872222
2012-10-22,1433.21,1435.46,1422.06,1433.82,1786788889
2012-10-23,1433.74,1433.74,1407.56,1413.11,1993150000
2012-10-24,1413.2,1420.04,1407.1,1408.75,1881094444
2012-10-25,1409.74,1421.12,1405.14,1412.97,1951466667
2012-10-26,1412.97,1417.09,1403.28,1411.94,1824950000
2012-10-31,1410.99,1418.76,1405.95,1412.16,1987283333
2012-11-01,1412.2,1428.35,1412.2,1427.59,2183272222
2012-11-02,1427.59,1434.27,1412.91,1414.2,2073600000
2012-11-05,1414.02,1419.9,1408.13,1417.26,1622800000
2012-11-06,1417.26,1433.38,1417.26,1428.39,1837205556
2012-11-07,1428.27,1428.27,1388.14,1394.53,2420272222
